Dt,Adj Close,Volume,SMAVG (15)
7/27/2015,1232.399,1110194048,982667648
7/28/2015,1247.286,1136765952,981555904
7/29/2015,1256.374,1082510976,1004408192
7/30/2015,1256.995,991553408,1003010048
7/31/2015,1255.444,1256288000,1027920064
8/3/2015,1251.549,1027436992,1035627264
8/4/2015,1249.02,1012998976,1043560960
8/5/2015,1252.814,1114462976,1055214656
8/6/2015,1242.107,1200333056,1073695872
8/7/2015,1238.284,1052915968,1072992000
8/10/2015,1254.209,1053654976,1082320256
8/11/2015,1242.374,1055276992,1088114816
8/12/2015,1243.014,1123747968,1092364288
8/13/2015,1241.361,910513088,1082582400
8/14/2015,1246.561,820349824,1063266880
8/17/2015,1254.136,842648512,1045430528
8/18/2015,1250.011,832637568,1025155264
8/19/2015,1239.328,993386816,1019213696
8/20/2015,1212.017,1145713024,1029491008
8/21/2015,1176.231,1751165952,1062482816
8/24/2015,1129.807,2154542080,1137623168
8/25/2015,1115.823,1634866048,1179080960
8/26/2015,1156.481,1637447040,1213946624
8/27/2015,1184.368,1526896000,1235717504
8/28/2015,1186.598,1273996032,1250456064
8/31/2015,1177.131,1336726016,1269327488
9/1/2015,1142.974,1468199040,1296855680
9/2/2015,1163.36,1264370944,1306230528
9/3/2015,1164.892,1087035008,1317998720
9/4/2015,1148.252,1029923008,1331970176
9/8/2015,1176.521,1145844992,1352183296
9/9/2015,1160.683,1142946048,1372870528
9/10/2015,1166.275,1125848064,1381701248
9/11/2015,1171.488,1009441984,1372616576
9/14/2015,1166.764,925013376,1317539712
9/15/2015,1181.238,913022528,1234771712
9/16/2015,1191.518,1017518976,1193615232
9/17/2015,1189.707,1185154048,1163462400
9/18/2015,1170.898,3395126016,1288011008
9/21/2015,1175.082,1024344000,1271367552
9/22/2015,1159.976,1162702976,1259766016
9/23/2015,1157.221,902483520,1222051712
9/24/2015,1152.956,1219616000,1219068032
9/25/2015,1150.676,1227949952,1228462336
9/28/2015,1119.883,1331876992,1248592640
9/29/2015,1120.052,1288509952,1258103680
9/30/2015,1140.823,1510412032,1282601344
10/1/2015,1142.465,1236743040,1289994368
10/2/2015,1159.303,1304461952,1309662336
10/5/2015,1180.987,1305353984,1335018368
10/6/2015,1176.06,1201308032,1354237440
10/7/2015,1186.737,1374724992,1378051200
10/8/2015,1197.141,1088352000,1371597696
10/9/2015,1198.3,1066177984,1216334464
10/12/2015,1199.125,827385216,1203203968
10/13/2015,1189.914,971426624,1190452096
10/14/2015,1183.736,1074712064,1201934080
10/15/2015,1201.994,1120916992,1195354112
10/16/2015,1206.495,1201505024,1193591168
10/19/2015,1207.005,1001248000,1171549184
10/20/2015,1205.357,969605888,1150288896
10/21/2015,1196.605,1047649984,1119438080
10/22/2015,1214.527,1300423040,1123683456
10/23/2015,1227.101,1260601984,1120759424
10/26/2015,1224.536,1034414016,1102696832
10/27/2015,1219.996,1195858944,1102333568
10/28/2015,1236.824,1247472000,1093849984
10/29/2015,1234.609,1048369984,1091184512
10/30/2015,1229.525,1381414016,1112200192
11/2/2015,1245.361,1074712064,1128688768
11/3/2015,1248.646,1113052032,1138130432
11/4/2015,1244.769,1138930944,1142411648
11/5/2015,1243.343,1077330048,1139505920
11/6/2015,1243.564,1191073024,1138810368
11/9/2015,1231.197,1156162048,1149138048
11/10/2015,1233.283,1041699968,1153944320
11/11/2015,1228.388,933743808,1146350592
11/12/2015,1210.285,1022193024,1127801856
11/13/2015,1197.669,1121833984,1118550656
11/16/2015,1214.357,1033851008,1118513152
11/17/2015,1212.562,1171948032,1116919040
11/18/2015,1232.145,1104413056,1107381760
11/19/2015,1230.387,944749312,1100473728
11/20/2015,1235.176,1148429952,1084941440
11/23/2015,1234.573,994035520,1079563008
11/24/2015,1237.053,1063104000,1076233216
11/25/2015,1238.099,782065728,1052442176
11/27/2015,1239.304,436307712,1009707328
11/30/2015,1233.559,1476045952,1028705536
12/1/2015,1245.85,1047526976,1021463232
12/2/2015,1232.302,1048545024,1021919552
12/3/2015,1214.126,1228861056,1041594048
12/4/2015,1236.904,1181138048,1052190336
12/7/2015,1226.658,1120802048,1052121536
12/8/2015,1218.992,1109257984,1057148672
12/9/2015,1208.958,1184628992,1057994112
12/10/2015,1211.913,1016008000,1052100416
12/11/2015,1188.124,1203478016,1069348992
12/14/2015,1191.437,1288564992,1078691328
12/15/2015,1204.598,1168182016,1090301056
12/16/2015,1222.152,1164035968,1097029888
12/17/2015,1204.251,1120909952,1119619456
12/18/2015,1184.084,3536061952,1326269824
12/21/2015,1192.749,1064726976,1298848512
12/22/2015,1203.165,970185920,1293692416
12/23/2015,1218.459,952837696,1287312000
12/24/2015,1217.05,451886688,1235513728
12/28/2015,1213.898,732870784,1205629184
12/29/2015,1226.391,696805632,1177362816
12/30/2015,1217.305,646370112,1146503552
12/31/2015,1206.103,951440576,1130957696
1/4/2016,1187.133,1409991040,1157223168
1/5/2016,1189.231,1085878016,1149383168
1/6/2016,1173.138,1309437056,1150774656
1/7/2016,1144.619,1463731968,1170478080
1/8/2016,1131.583,1397593984,1186048512
1/11/2016,1131.321,1315140992,1198997248
1/12/2016,1139.062,1357543936,1053762752
1/13/2016,1109.391,1521293056,1084200448
1/14/2016,1127.018,1543219968,1122402816
1/15/2016,1103.342,1915122944,1186555136
1/19/2016,1101.694,1482397056,1255255808
1/20/2016,1090.508,1826584960,1328170112
1/21/2016,1095.152,1475737984,1380098944
1/22/2016,1118.28,1423467008,1431905408
1/25/2016,1099.679,1297456000,1454973056
1/26/2016,1116.501,1240361984,1443664512
1/27/2016,1103.747,1362288000,1462091776
1/28/2016,1108.215,1369510016,1466096640
1/29/2016,1136.837,2092755968,1508031616
2/1/2016,1136.464,1236544000,1497294976
2/2/2016,1114.217,1304775040,1496603904
2/3/2016,1119.708,1462664960,1503611904
2/4/2016,1122.459,1429161984,1497469824
2/5/2016,1099.559,1518942976,1495851392
2/8/2016,1082.235,1687033984,1480645504
2/9/2016,1080.609,1424648960,1476795648
2/10/2016,1080.808,1309479040,1442321920
2/11/2016,1067.34,1585750016,1449655936
2/12/2016,1088.258,1398129024,1447966848
2/16/2016,1107.622,1428620032,1456711040
2/17/2016,1126.284,1482695936,1472866688
2/18/2016,1121.023,1276539008,1467150080
2/19/2016,1121.44,1401393024,1469275648
2/22/2016,1137.605,1167927040,1407620352
2/23/2016,1123.99,1107069952,1398988672
2/24/2016,1129.629,1203831040,1392259072
2/25/2016,1142.403,1096472960,1367846272
2/26/2016,1141.833,1238247040,1355118720
2/29/2016,1133.562,1606082048,1360928000
3/1/2016,1160.031,1358168064,1339003520
3/2/2016,1165.892,1251074048,1327431936
3/3/2016,1171.428,1277138944,1325275904
3/4/2016,1175.824,1480344960,1318248832
3/7/2016,1178.247,1274216960,1309988096
3/8/2016,1162.801,1259613056,1298720896
3/9/2016,1168.615,1090471040,1272572672
3/10/2016,1167.597,1167559936,1265307392
3/11/2016,1187.788,1136994944,1247680768
3/14/2016,1185.935,983048384,1235355520
3/15/2016,1181.642,960756672,1225601280
3/16/2016,1189.029,1060382016,1216038016
3/17/2016,1198.019,1169355008,1220896896
3/18/2016,1203.841,3155449088,1348710400
3/21/2016,1204.812,967571392,1306142976
3/22/2016,1204.052,983999232,1281198336
3/23/2016,1194.18,1000619008,1264501376
3/24/2016,1194.266,1030992000,1248091520
3/28/2016,1195.014,855543872,1206438144
3/29/2016,1207.747,1174537984,1199792896
3/30/2016,1212.438,957383872,1179644288
3/31/2016,1211.174,1194753024,1186596480
4/1/2016,1218.291,1200172032,1188770560
4/4/2016,1213.52,987302912,1178791040
4/5/2016,1201.299,1271227008,1198002944
4/6/2016,1214.227,1039172992,1203230720
4/7/2016,1199.437,1158130048,1209747328
4/8/2016,1203.163,963069184,1195994880
4/11/2016,1199.823,1013209024,1053178880
4/12/2016,1211.381,1056462976,1059105024
4/13/2016,1225.526,1136888064,1069297600
4/14/2016,1225.343,999760320,1069240384
4/15/2016,1224.816,1193496960,1080073984
4/18/2016,1232.562,961271488,1087122560
4/19/2016,1236.297,1045763008,1078537472
4/20/2016,1237.464,1070979008,1086110592
4/21/2016,1231.014,1112930944,1080655744
4/22/2016,1232.808,1453580032,1097549568
4/25/2016,1229.706,1007932032,1098924928
4/26/2016,1233.435,1081479936,1086275072
4/27/2016,1235.75,1171510016,1095097600
4/28/2016,1223.863,1220301952,1099242368
4/29/2016,1217.365,1560212992,1139051904
5/2/2016,1226.942,1155491968,1148537472
5/3/2016,1214.807,1231799040,1160226560
5/4/2016,1207.36,1194024960,1164035584
5/5/2016,1206.363,1156334976,1174473984
5/6/2016,1210.547,1136829952,1170696192
5/9/2016,1211.615,1069227008,1177893248
